_00_30,_01_00,_01_30,_02_00,_02_30,_03_00,_03_30,_04_00,_04_30,_05_00,_05_30,_06_00,_06_30,_07_00,_07_30,_08_00,_08_30,_09_00,_09_30,_10_00,_10_30,_11_00,_11_30,_12_00,_12_30,_13_00,_13_30,_14_00,_14_30,_15_00,_15_30,_16_00,_16_30,_17_00,_17_30,_18_00,_18_30,_19_00,_19_30,_20_00,_20_30,_21_00,_21_30,_22_00,_22_30,_23_00,_23_30,_24_00
0.5,10.5,10.7,10.4,10.6,10,7.9,6.3,6.5,6,5.3,4.8,5.6,6.2,1.3,2.3,4.2,3.9,4.1,5.6,6,6.3,4.5,7.3,6.9,5.4,4.4,4.8,4.1,4.3,3.1,1.5,0.7,0.4,0.4,0.3,0.5,0.5,0.3,0.8,0.3,0.4,0.6,0.3,0.6,0.5,0.6,0.5
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1.987,1.666,1.626,1.324,1.538,1.803,1.416,1.746,1.662,1.553,1.475,2.17,1.909,2.212,2.17,9.147,13.898,13.485,14.653,14.629,16.163,13.61,14.092,13.543,11.411,10.707,9.051,6.902,5.961,7.868,7.873,7.345,6.699,5.597,4.546,4.207,4.065,2.992,1.487,1.392,1.41,1.731,1.432,1.275,1.599,1.56,1.599,1.317
0,0,0,0,0.00000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.296875,0.40625,0.296875,0.296875,0.203125,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,0.9,1,1.1,1.2,2.2,1.2,1.5,1.5,1.7,1.5,1.7,1.3,1.3,1,1.4,1.2,1.2,1.5,1.3,1.3,0.4,0.6,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
0.6015625,0.5,0.5,0.5,0.5984375,0.5,0.6,0.5,0.5,0.6,0.5,0.6,0.5,0.7,2,1.8,1.3,1.5,1.8,1.8,1.8,1.9,1.9,1.8,1.9,1.8,1.8,1.8,1.9,1.8,1.8,1.7,0.9,2.6,1,0,0.6,0.6,0.5,0.8,0.6,0.5,0.6,0.6,0.6,0.5,0.6,0.6
0.203125,0.296875,0.203125,0.1992188,0.2992187,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.3,1.4,0.5,0.7,0.8,1,0.7,0.9,0.8,0.8,0.8,0,0.8,0.5,0.6,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2
2.125,2.1875,2.09375,2.21875,2.1875,2.2,2.2,2.3,2.2,2.2,2.2,2.2,2.2,3.6,5.6,5.1,4.8,5.1,4.5,3.4,4,3.9,4.7,4.7,4.1,3.2,3.7,4,3.2,4.7,5,5.7,6.8,6.4,3.4,2.3,2.2,2.2,2.2,2.9,2.2,2.1,2.2,2.1,2.2,2.2,2.3,2.1
0,0,0,0,-0.00002441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
0,0,0,0,-0.00000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4023438,0.3984375,0.3984375,0.4023438,0.3992187,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0,0.8,0.9,0.8,0.8,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.4
0,0,0,0,-0.00000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2011719,0.1992188,0.3007813,0.1992188,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2
0,0.09960938,0.1000977,0,0.1000977,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0.1
0.3007813,0.3007813,0.3007813,0.3984375,0.3007813,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4
0,0,0,0,-0.0000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1992188,0.1992188,0.1992188,0.203125,0.1984375,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.7,1,1,1,0.9,0.7,0.5,0.5,0.4,0.4,0.6,0.5,0.2,0.2,0.3,0.2,0.7,0.9,1.2,1.4,1.4,0,0.5,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2
0.3007813,0.1992188,0.3007813,0.1992188,0.3,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.4,0.9,0.5,0.4,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.4,0.4,0.4,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0.203125,0.296875,0.3046875,0.1953125,0.3015625,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.8,1.6,1.2,1.1,1.3,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.5,0.5,0.6,0.7,1,1.4,1.5,1.6,1.7,0,0.7,0.3,0.2,0.3,0.5,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.3
0.1015625,0,0.09765625,0.1015625,0.09921875,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.6,0.6,0.7,0.8,0.9,0.8,0.8,0.7,0.8,0.7,0.8,0.8,0.5,0.6,0.6,0.4,0.7,0,1.9,1,1,0.1,0.3,0.1,0.1,0.1,0.4,0.1,0,0.1,0.1,0,0.1,0.1,0.1
0.296875,0.203125,0.296875,0.296875,0.303125,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,1,1.3,0.8,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1,1.4,1,1.2,1.2,1.2,1.4,0.3,0.7,0.3,0.3,0.3,0.5,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2
